,0
way/953757608-220,way/953757608-380
way/95434457-220,DE125-380
way/955268863-220,way/955268863-380
way/95749833-275,way/95749833-400
way/957746797-220,way/957746797-380
way/96107758-275,way/96107758-400
way/96190189-220,way/96190189-380
way/96616299-220,way/96616299-380
way/96747435-220,way/96747435-400
way/96905262-275,way/96905262-400
way/96974919-220,way/96974919-400
way/969811258-220,way/969811258-380
way/969819301-220,way/969819301-380
way/97256377-275,way/97256377-400
way/97286424-220,way/97286424-400
way/97402111-220,way/97402111-400
way/97825259-220,way/97825259-380
way/97937366-220,way/97937366-400
way/979801144-220,way/979801144-380
way/983523978-220,way/983523978-400
way/98526640-220,way/98526640-400
way/98648381-220,way/98648381-380
way/98890904-225,way/98890904-400
way/98902899-220,way/98902899-380
way/99593626-220,way/99593626-400
way/99722046-225,way/99722046-400
way/99826025-220,way/99826025-380
AL1-220,way/281014579-220
AL10-220,way/353712441-220
AL2-220,way/281014579-220
AL3-400,AL3-400
AL4-220,way/174609198-220
AL6-400,AL6-400
AL7-220,AL6-400
AL8-400,AL8-400
AL9-220,way/353712441-220
AT1-220,AT1-220
AT10-220,AT10-220
AT11-220,AT11-220
AT12-380,AT12-380
AT13-380,AT13-380
AT14-380,way/38821658-380
AT15-220,way/140375658-380
AT16-220,AT16-220
AT17-380,AT17-380
AT18-220,way/101997887-380
AT19-220,way/162826525-380
AT2-380,AT2-380
AT20-220,AT20-220
AT3-380,AT3-380
AT4-220,AT4-220
AT5-380,AT5-380
AT6-380,AT6-380
AT7-220,way/88680218-220
AT8-220,AT8-220
AT9-220,AT9-220
BA1-220,BA1-220
BA10-220,BA12-220
BA11-220,BA12-220
BA12-220,BA12-220
BA13-400,BA13-400
BA14-220,BA15-400
BA15-400,BA15-400
BA16-220,BA16-220
BA17-220,BA17-220
BA18-220,BA18-220
BA19-220,BA19-220
BA2-400,BA4-400
BA20-220,BA20-220
BA21-220,BA21-220
BA22-220,BA22-220
BA23-220,BA23-220
BA24-400,BA24-400
BA25-220,way/89827347-400
BA26-220,BA26-220
BA3-220,way/79818891-220
BA4-400,BA4-400
BA5-400,BA5-400
BA6-220,BA6-220
BA7-220,BA12-220
BA8-220,BA12-220
BA9-220,BA12-220
BE1-220,way/500788534-380
BE10-380,BE10-380
BE13-220,BE13-220
BE14-380,BE14-380
BE15-380,BE15-380
BE16-380,BE15-380
BE17-220,BE17-220
BE2-220,way/500788534-380
